Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
05 FEB 2026,ADANIENSOL,EQ,ADANI ENERGY SOLUTION LTD,Listed    ,05 FEB 2026,              10.00,        1201282642,           1011.45,  1215037328250.90
05 FEB 2026,ADANIENT,EQ,ADANI ENTERPRISES LIMITED,Listed    ,05 FEB 2026,               1.00,        1154180729,           2236.60,  2581440618481.40  
05 FEB 2026,ADANIGREEN,EQ,ADANI GREEN ENERGY LTD   ,Listed    ,05 FEB 2026,              10.00,        1647176155,            967.15,  1593066418308.25
05 FEB 2026,ADANIPORTS,EQ,ADANI PORT & SEZ LTD     ,Listed    ,05 FEB 2026,               2.00,        2303959098,           1570.20,  3617676575679.60
05 FEB 2026,ADANIPOWER,EQ,ADANI POWER LTD          ,Listed    ,05 FEB 2026,               2.00,       19284694705,            153.45,  2959236402482.25
05 FEB 2026,ADDICTIVE,SM,ADDICTIVE LEARNING TECH L,Listed    ,05 FEB 2026,              10.00,          15909732,            104.10,     1656203101.20 
05 FEB 2026,ADFFOODS,EQ,ADF FOODS LIMITED        ,Listed    ,05 FEB 2026,               2.00,         109863595,            227.75,    25019236489.35  
05 FEB 2026,ADL,EQ,ARCHIDPLY DECOR LIMITED  ,Listed    ,05 FEB 2026,              10.00,           5566250,             71.90,      400324700.00       
05 FEB 2026,ADOR,EQ,ADOR WELDING LTD         ,Listed    ,05 FEB 2026,              10.00,          17402815,           1060.60,    18457425589.00      
05 FEB 2026,ADROITINFO,EQ,ADROIT INFOTECH LIMITED  ,Listed    ,05 FEB 2026,              10.00,          54177208,              9.95,      539604991.70
05 FEB 2026,ADSL,EQ,ALLIED DIGITAL SERV. LTD ,Listed    ,05 FEB 2026,               5.00,          56514128,            128.50,     7262065448.00      
05 FEB 2026,ADVAIT,EQ,ADVAIT ENRGY TRANSITION L,Listed    ,05 FEB 2026,              10.00,          10936777,           1518.30,    16605308519.10    
05 FEB 2026,ADVANCE,EQ,ADVANCE AGROLIFE LIMITED ,Listed    ,05 FEB 2026,              10.00,          64285720,            130.85,     8410500747.60   
05 FEB 2026,ADVANIHOTR,EQ,ADVANI HOT.& RES.(I) LTD ,Listed    ,05 FEB 2026,               2.00,          92438500,             56.05,     5180253540.00
05 FEB 2026,ADVENTHTL,EQ,ADVENT HOTELS INTERNATI L,Listed    ,05 FEB 2026,              10.00,          53942887,            214.05,    11545935533.50 
05 FEB 2026,ADVENZYMES,EQ,ADVANCED ENZYME TECH LTD ,Listed    ,05 FEB 2026,               2.00,         111926800,            291.20,    32593084160.00
05 FEB 2026,AEGISLOG,EQ,AEGIS LOGISTICS LIMITED  ,Listed    ,05 FEB 2026,               1.00,         351000000,            687.05,   241154550000.00  
05 FEB 2026,AEGISVOPAK,EQ,AEGIS VOPAK TERMINALS LTD,Listed    ,05 FEB 2026,              10.00,        1107991489,            228.90,   253608171917.20
05 FEB 2026,AEQUS,EQ,AEQUS LIMITED            ,Listed    ,05 FEB 2026,              10.00,         670665635,            139.75,    93738935803.95     
05 FEB 2026,AEROENTER,EQ,AEROFLEX ENTERPRISES LTD ,Listed    ,05 FEB 2026,               2.00,         113085000,             79.20,     8954070300.00 
05 FEB 2026,AEROFLEX,EQ,AEROFLEX INDUSTRIES LTD  ,Listed    ,05 FEB 2026,               2.00,         129320370,            188.00,    24309643152.60  
05 FEB 2026,AERON,SM,AERON COMPOSITE LIMITED  ,Listed    ,05 FEB 2026,              10.00,          17020000,            100.70,     1713914000.00     
